job_title,job_date,comp_name,comp_type,comp_size,eco_activity,region,contract,job_post_id,exper,gender,job_date_gregorian,salary,benefits_extracted,experience_categories
محاسب,27/05/1444,شركة مقر العالم للسفريات,خاص,متوسطة فئة أ,أنشطة وكالات السياحة والسفر,الرياض,دوام كامل,20202026350419,0,ذكور وإناث,2022-12-21 00:00:00,5000.0,لا يوجد بدلات,خريجون جدد
بائع,27/05/1444,شركة عالم الكهرباء للمقاولات,خاص,متوسطة فئة ب,تركيب انظمة التبريد وتكييف الهواء وصيانتها واصلاحها,المنطقة الشرقية,دوام كامل,20202026350389,0,ذكور وإناث,2022-12-21 00:00:00,5000.0,لا يوجد بدلات,خريجون جدد
أخصائي عمليات موارد بشرية,27/05/1444,شركه دار السلام,خاص,متوسطة فئة أ,ترميمات المباني السكنية والغير سكنية,الرياض,دوام كامل,20202026350347,2,ذكور وإناث,2022-12-21 00:00:00,4000.0,لا يوجد بدلات,ذوي خبرة
ميكانيكي سيارات,27/05/1444,مؤسسة لمكو لغيار الزيوت,خاص,صغيرة فئة ب,غير معروف,المنطقة الشرقية,دوام كامل,20202026350219,0,ذكور,2022-12-21 00:00:00,5000.0,لا يوجد بدلات,خريجون جدد
محاسب,27/05/1444,مؤسسة فكرة اليمامة للمقاولات,خاص,كبيرة,الإنشاءات العامة للمباني السكنية,الرياض,دوام كامل,20202026350043,0,ذكور وإناث,2022-12-21 00:00:00,5000.0,لا يوجد بدلات,خريجون جدد
مراقب كاميرات أمنية,27/05/1444,مطاعم تراث الدمشقية للوجبات السريعة,خاص,صغيرة فئة ب,تشغيل المقاصف والكفتيريات على أساس إمتياز محدد ، يشمل ( المقاصف والكفتيريات في المصانع والمكاتب والمستشفيات والمدارس .. الخ ),الرياض,عمل عن بعد,20202026350031,0,ذكور وإناث,2022-12-21 00:00:00,4500.0,لا يوجد بدلات,خريجون جدد
سكرتير تنفيذي,27/05/1444,شركة بيانات و دعم القرار للاستشارات في مجال الاتصالات وتقنية,خاص,صغيرة فئة أ,إعادة تأهيل وهيكلة العمليات الإدارية والمالية والتشغيلية للمنشآت,الرياض,دوام كامل,20202026349999,4,إناث,2022-12-21 00:00:00,6000.0,لا يوجد بدلات,ذوي خبرة
مدير مكتب,27/05/1444,شركة بيانات و دعم القرار للاستشارات في مجال الاتصالات وتقنية,خاص,صغيرة فئة أ,إعادة تأهيل وهيكلة العمليات الإدارية والمالية والتشغيلية للمنشآت,الرياض,دوام كامل,20202026349997,4,إناث,2022-12-21 00:00:00,8000.0,لا يوجد بدلات,ذوي خبرة
أخصائي إدارة مشاريع,27/05/1444,شركة بيانات و دعم القرار للاستشارات في مجال الاتصالات وتقنية,خاص,صغيرة فئة أ,إعادة تأهيل وهيكلة العمليات الإدارية والمالية والتشغيلية للمنشآت,الرياض,دوام كامل,20202026349992,2,إناث,2022-12-21 00:00:00,10000.0,لا يوجد بدلات,ذوي خبرة
مصمم جرافيك,26/05/1444,شركة بيانات و دعم القرار للاستشارات في مجال الاتصالات وتقنية,خاص,صغيرة فئة أ,إعادة تأهيل وهيكلة العمليات الإدارية والمالية والتشغيلية للمنشآت,الرياض,دوام كامل,20202026349583,4,إناث,2022-12-20 00:00:00,5000.0,لا يوجد بدلات,ذوي خبرة
أخصائي ذكاء أعمال,26/05/1444,شركة بيانات و دعم القرار للاستشارات في مجال الاتصالات وتقنية,خاص,صغيرة فئة أ,إعادة تأهيل وهيكلة العمليات الإدارية والمالية والتشغيلية للمنشآت,الرياض,دوام كامل,20202026349578,0,ذكور وإناث,2022-12-20 00:00:00,7200.0,يوجد بدلات,خريجون جدد
